pr,year,month,iso
12.9695,1956,11,DZA
5.40779,1956,12,DZA
8.48144,1957,1,DZA
0.80125,1957,2,DZA
4.89799,1957,3,DZA
18.0231,1957,4,DZA
12.7141,1957,5,DZA
1.96933,1957,6,DZA
2.64741,1957,7,DZA
5.64298,1957,8,DZA
7.57906,1957,9,DZA
18.2857,1957,10,DZA
15.1411,1957,11,DZA
25.2555,1957,12,DZA
21.5338,1958,1,DZA
5.11767,1958,2,DZA
2.36341,1958,3,DZA
4.7832,1958,4,DZA
0.56736,1958,5,DZA
3.88512,1958,6,DZA
1.21117,1958,7,DZA
4.27118,1958,8,DZA
3.19065,1958,9,DZA
17.034,1958,10,DZA
16.6951,1958,11,DZA
11.8575,1958,12,DZA
4.0152,1959,1,DZA
12.2083,1959,2,DZA
11.8372,1959,3,DZA
2.78311,1959,4,DZA
8.63454,1959,5,DZA
5.38587,1959,6,DZA
1.69207,1959,7,DZA
4.15287,1959,8,DZA
6.3617,1959,9,DZA
8.81017,1959,10,DZA
10.1168,1959,11,DZA
10.4704,1959,12,DZA
14.9846,1960,1,DZA
3.72229,1960,2,DZA
12.3989,1960,3,DZA
10.4616,1960,4,DZA
8.82521,1960,5,DZA
7.04303,1960,6,DZA
2.00647,1960,7,DZA
2.14469,1960,8,DZA
2.74434,1960,9,DZA
1.4755,1960,10,DZA
1.67264,1960,11,DZA
16.4361,1960,12,DZA
18.8941,1961,1,DZA
0.91646,1961,2,DZA
3.91787,1961,3,DZA
3.6246,1961,4,DZA
1.19732,1961,5,DZA
5.11482,1961,6,DZA
3.05739,1961,7,DZA
3.25303,1961,8,DZA
1.1794,1961,9,DZA
6.53775,1961,10,DZA
5.65604,1961,11,DZA
5.13152,1961,12,DZA
4.69025,1962,1,DZA
14.0149,1962,2,DZA
15.0196,1962,3,DZA
8.82162,1962,4,DZA
7.32652,1962,5,DZA
4.98911,1962,6,DZA
3.36798,1962,7,DZA
2.54937,1962,8,DZA
5.1926,1962,9,DZA
8.21701,1962,10,DZA
11.8859,1962,11,DZA
12.2112,1962,12,DZA
10.3447,1963,1,DZA
11.382,1963,2,DZA
7.62012,1963,3,DZA
8.48961,1963,4,DZA
